2017-01-08 19:04:36,035 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\CakeNationWS\CakeNationBackEnd\pom.xml
2017-01-08 19:04:39,072 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.niit:CakeNationBackEnd:0.0.1-SNAPSHOT @ D:\CakeNationWS\CakeNationBackEnd\pom.xml.
2017-01-08 19:04:40,135 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CakeNationBackEnd/src/main/java
2017-01-08 19:04:40,143 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CakeNationBackEnd/src/test/java
2017-01-08 19:04:43,134 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 7 sec
2017-01-08 19:04:44,753 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-01-08 19:04:44,758 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CakeNationWS\CakeNationBackEnd\src\main\resources
2017-01-08 19:04:44,769 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-01-08 19:04:44,769 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CakeNationWS\CakeNationBackEnd\src\test\resources
2017-01-08 19:07:05,099 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\CakeNationWS\CakeNationFE\pom.xml
2017-01-08 19:07:05,556 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:CakeNationFE:0.0.1-SNAPSHOT @ D:\CakeNationWS\CakeNationFE\pom.xml.
